evt1; evt2; station; channel; dtP; dtS; dtPerr; dtSerr
event_000; event_001; STA00; HHZ; -545684.2107579708; -545684.2109276056; 0.0; 0.0
event_000; event_001; STA01; HHZ; -545683.8924542665; -545683.6596255302; 0.0; 0.0
event_000; event_001; STA02; HHZ; -545689.9663467407; -545689.6835700274; 0.0; 0.0
event_000; event_001; STA03; HHZ; -545683.9758220911; -545683.8040184975; 0.0; 0.0
event_000; event_001; STA04; HHZ; -545684.4847787619; -545684.685531497; 0.0; 0.0
event_000; event_001; STA05; HHZ; -545682.3065035343; -545682.1327588558; 0.0; 0.0
event_000; event_001; STA06; HHZ; -545684.2206710577; -545684.228096962; 0.0; 0.0
event_000; event_001; STA07; HHZ; -545685.6332354546; -545685.5188689232; 0.0; 0.0
event_000; event_001; STA08; HHZ; -545684.3975880146; -545684.5345172882; 0.0; 0.0
event_000; event_001; STA09; HHZ; -545683.9598721266; -545683.7763932943; 0.0; 0.0
event_000; event_001; STA10; HHZ; -545684.3528655767; -545684.4570577145; 0.0; 0.0
event_000; event_001; STA11; HHZ; -545684.516861558; -545684.7410988808; 0.0; 0.0
event_000; event_001; STA12; HHZ; -545683.7676002979; -545683.4433785677; 0.0; 0.0
event_000; event_001; STA13; HHZ; -545684.3618530035; -545684.4726241827; 0.0; 0.0
event_000; event_001; STA14; HHZ; -545684.5739073753; -545684.8399020433; 0.0; 0.0
event_000; event_002; STA00; HHZ; -1091368.4875042439; -1091368.5361468792; 0.0; 0.0
event_000; event_002; STA01; HHZ; -1091368.3248503208; -1091368.254430294; 0.0; 0.0
event_000; event_002; STA02; HHZ; -1091377.9281733036; -1091377.7913757563; 0.0; 0.0
event_000; event_002; STA03; HHZ; -1091368.1555033922; -1091367.96112144; 0.0; 0.0
event_000; event_002; STA04; HHZ; -1091368.5616893768; -1091368.664635539; 0.0; 0.0
event_000; event_002; STA05; HHZ; -1091364.8194606304; -1091364.6230951548; 0.0; 0.0
event_000; event_002; STA06; HHZ; -1091368.5234817266; -1091368.5984598398; 0.0; 0.0
event_000; event_002; STA07; HHZ; -1091371.5920825005; -1091371.6016973257; 0.0; 0.0
event_000; event_002; STA08; HHZ; -1091368.5820009708; -1091368.6998152733; 0.0; 0.0
event_000; event_002; STA09; HHZ; -1091368.4046951532; -1091368.3927215338; 0.0; 0.0
event_000; event_002; STA10; HHZ; -1091368.482366562; -1091368.5272483826; 0.0; 0.0
event_000; event_002; STA11; HHZ; -1091368.4204392433; -1091368.419990182; 0.0; 0.0
event_000; event_002; STA12; HHZ; -1091368.1922233105; -1091368.0247203112; 0.0; 0.0
event_000; event_002; STA13; HHZ; -1091368.5992069244; -1091368.7296158075; 0.0; 0.0
event_000; event_002; STA14; HHZ; -1091368.485182643; -1091368.5321258307; 0.0; 0.0
event_000; event_003; STA00; HHZ; -1637052.5173057318; -1637052.4336577654; 0.0; 0.0
event_000; event_003; STA01; HHZ; -1637052.367876649; -1637052.1748466492; 0.0; 0.0
event_000; event_003; STA02; HHZ; -1637061.5322161913; -1637061.3440217972; 0.0; 0.0
event_000; event_003; STA03; HHZ; -1637052.588623643; -1637052.5571804047; 0.0; 0.0
event_000; event_003; STA04; HHZ; -1637052.7370228767; -1637052.8142077923; 0.0; 0.0
