event;station;channel;tP;tS;tPerr;tSerr;timing_delay;ti;ti_utc;evt2sta_dist
event_000;STA00;HHZ;1041379200.9805849;1041379201.698373;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;2.9417545216722165
event_000;STA01;HHZ;1041379201.2610167;1041379202.184081;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;3.7830501925075675
event_000;STA02;HHZ;1041379200.974261;1041379201.6874202;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;2.922783257180108
event_000;STA03;HHZ;1041379203.1748241;1041379205.4987954;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;9.524472365239559
event_000;STA04;HHZ;1041379200.7272865;1041379201.2596602;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;2.1818595522940947
event_000;STA05;HHZ;1041379202.9219637;1041379205.0608412;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;8.765891234918875
event_000;STA06;HHZ;1041379201.4441233;1041379202.5012215;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;4.332369783526662
event_000;STA07;HHZ;1041379201.3599465;1041379202.3554274;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;4.07983963829805
event_000;STA08;HHZ;1041379201.185567;1041379202.0534021;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;3.556700988763777
event_000;STA09;HHZ;1041379202.3057511;1041379203.9935609;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;6.917253219645129
event_000;STA10;HHZ;1041379200.5884668;1041379201.0192245;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;1.7654004311615301
event_000;STA11;HHZ;1041379201.7628653;1041379203.0532827;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;5.288596001011716
event_000;STA12;HHZ;1041379201.3435665;1041379202.3270572;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;4.030699644255162
event_000;STA13;HHZ;1041379202.0697389;1041379203.5847877;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;6.209216522572748
event_000;STA14;HHZ;1041379203.6746428;1041379206.3644814;0.0;0.0;0.0;1041379200.0;2003-01-01 00:00:00.000000;11.023928554446472
event_001;STA00;HHZ;1041924885.1913428;1041924885.9093006;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;2.942449499625477
event_001;STA01;HHZ;1041924885.153471;1041924885.8437065;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;2.8288340215826193
event_001;STA02;HHZ;1041924884.7984806;1041924885.2288631;0.0;0.0;6.142127126896678;1041924884.2105263;2003-01-07 07:34:44.210526;1.7638627229381751
event_001;STA03;HHZ;1041924887.1506462;1041924889.3028139;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;8.820359571932729
event_001;STA04;HHZ;1041924885.2120652;1041924885.9451917;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;3.004616639740916
event_001;STA05;HHZ;1041924886.8951339;1041924888.8602667;0.0;0.0;-1.6666666666666667;1041924884.2105263;2003-01-07 07:34:44.210526;8.053822673472196
event_001;STA06;HHZ;1041924885.6647943;1041924886.7293185;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;4.36280401319756
event_001;STA07;HHZ;1041924885.4142345;1041924886.2953489;0.0;0.0;1.5789473684210527;1041924884.2105263;2003-01-07 07:34:44.210526;3.6111245041432976
event_001;STA08;HHZ;1041924885.583155;1041924886.5879194;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;4.117886202925371
event_001;STA09;HHZ;1041924886.2656232;1041924887.7699542;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;6.16529069745582
event_001;STA10;HHZ;1041924884.9413323;1041924885.4762822;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;2.192417885755731
event_001;STA11;HHZ;1041924886.2797269;1041924887.7943816;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;6.207601408440745
event_001;STA12;HHZ;1041924885.1111668;1041924885.7704358;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;2.7019216341544054
event_001;STA13;HHZ;1041924886.4315919;1041924888.0574119;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;6.663196671494015
event_001;STA14;HHZ;1041924888.2485502;1041924891.2043835;0.0;0.0;0.0;1041924884.2105263;2003-01-07 07:34:44.210526;12.114071359872424
event_002;STA00;HHZ;1042470569.4680891;1042470570.2345198;0.0;0.0;0.0;1042470568.4210526;2003-01-13 15:09:28.421053;3.1411096526330957
event_002;STA01;HHZ;1042470569.585867;1042470570.4385113;0.0;0.0;0.0;1042470568.4210526;2003-01-13 15:09:28.421053;3.494443495005733
